channel1,channel2
-1.47,-1.47
1.7,1.7
4.59,4.59
6.45,6.45
7.3,7.3
7.38,7.38
7.22,7.22
7.55,7.55
8.39,8.39
9.46,9.46
10.27,10.27
11.57,11.57
12.86,12.86
14.13,14.13
15.39,15.39
16.39,16.39
17.38,17.38
18.1,18.1
18.07,18.07
17.53,17.53
15.99,15.99
14.47,14.47
13.96,13.96
14.2,14.2
14.93,14.93
15.66,15.66
16.63,16.63
18.59,18.59
21.02,21.02
23.18,23.18
24.07,24.07
23.2,23.2
21.82,21.82
19.96,19.96
17.87,17.87
15.54,15.54
13.48,13.48
11.93,11.93
10.9,10.9
9.88,9.88
8.36,8.36
6.35,6.35
4.62,4.62
3.89,3.89
3.93,3.93
4.71,4.71
5.49,5.49
6.01,6.01
5.52,5.52
3.79,3.79
1.57,1.57
-0.38,-0.38
-1.06,-1.06
-1.24,-1.24
-1.66,-1.66
-3.33,-3.33
-5.48,-5.48
-7.37,-7.37
-7.48,-7.48
-6.34,-6.34
-4.97,-4.97
-4.1,-4.1
-4.24,-4.24
-4.62,-4.62
-5.02,-5.02
-5.14,-5.14
-4.77,-4.77
-3.66,-3.66
-1.55,-1.55
1.55,1.55
3.86,3.86
3.9,3.9
1.94,1.94
-1.01,-1.01
-3.67,-3.67
-4.56,-4.56
-3.95,-3.95
-1.83,-1.83
1.02,1.02
3.58,3.58
5.62,5.62
6.15,6.15
6.41,6.41
6.68,6.68
7.94,7.94
10.19,10.19
13.66,13.66
17.11,17.11
20.27,20.27
22.14,22.14
21.75,21.75
19.86,19.86
17.73,17.73
16.87,16.87
17.76,17.76
20.14,20.14
23.5,23.5
26.32,26.32
28.62,28.62
30.38,30.38
31.13,31.13
30.87,30.87
30.35,30.35
30.09,30.09
30.31,30.31
31.29,31.29
32.0,32.0
31.95,31.95
30.9,30.9
29.34,29.34
27.3,27.3
24.28,24.28
20.78,20.78
17.55,17.55
15.11,15.11
12.94,12.94
10.28,10.28
7.39,7.39
5.28,5.28
4.45,4.45
5.11,5.11
6.27,6.27
6.91,6.91
7.05,7.05
7.45,7.45
8.58,8.58
9.45,9.45
9.81,9.81
9.41,9.41
9.28,9.28
9.39,9.39
9.24,9.24
7.85,7.85
5.22,5.22
2.86,2.86
1.27,1.27
0.95,0.95
2.38,2.38
4.8,4.8
7.95,7.95
10.55,10.55
11.39,11.39
10.23,10.23
8.06,8.06
6.16,6.16
5.29,5.29
4.92,4.92
5.3,5.3
5.93,5.93
7.3,7.3
9.66,9.66
12.25,12.25
14.05,14.05
15.1,15.1
15.38,15.38
15.16,15.16
14.18,14.18
12.96,12.96
11.75,11.75
11.55,11.55
12.09,12.09
13.14,13.14
13.67,13.67
14.2,14.2
14.96,14.96
15.97,15.97
15.72,15.72
13.46,13.46
9.98,9.98
6.77,6.77
5.1,5.1
5.44,5.44
6.27,6.27
7.09,7.09
7.41,7.41
7.98,7.98
9.28,9.28
9.82,9.82
8.86,8.86
6.41,6.41
3.47,3.47
2.06,2.06
2.17,2.17
4.02,4.02
7.11,7.11
10.91,10.91
13.93,13.93
15.18,15.18
14.15,14.15
12.14,12.14
9.89,9.89
8.41,8.41
7.19,7.19
6.23,6.23
4.78,4.78
3.09,3.09
1.67,1.67
0.51,0.51
-0.64,-0.64
-1.53,-1.53
-1.91,-1.91
-1.29,-1.29
-0.67,-0.67
-1.81,-1.81
-3.69,-3.69
-5.04,-5.04
-5.14,-5.14
-4.24,-4.24
-3.09,-3.09
-2.95,-2.95
-3.81,-3.81
-5.17,-5.17
-6.01,-6.01
-5.59,-5.59
-4.68,-4.68
-3.52,-3.52
-2.63,-2.63
-2.24,-2.24
-2.6,-2.6
-3.71,-3.71
-5.06,-5.06
-5.4,-5.4
-4.73,-4.73
-3.32,-3.32
-1.67,-1.67
-1.29,-1.29
-1.91,-1.91
-4.02,-4.02
-6.61,-6.61
-9.18,-9.18
-10.23,-10.23
-8.51,-8.51
-4.31,-4.31
1.11,1.11
6.22,6.22
9.29,9.29
8.83,8.83
4.87,4.87
-1.8,-1.8
-8.66,-8.66
-12.96,-12.96
-13.72,-13.72
-11.47,-11.47
-8.73,-8.73
-7.52,-7.52
